coin,exchange,time,open,high,low,close,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
DTB,Bittrex,2017-12-31 05:30:00,8.070000000000001e-05,8.7e-05,7.59e-05,8.609999999999999e-05,15.96,60.294644885549395,0.0,6.882000000000001e-05,6.882000000000001e-05,6.882000000000001e-05,12.21884938157975,11.025643777165358
DTB,Bittrex,2018-01-01 05:30:00,8.609999999999999e-05,0.00013340000000000002,8.35e-05,0.0001062,143.07,68.24667357515011,0.0,7.173000000000002e-05,7.173000000000002e-05,7.173000000000002e-05,7.879328799520573,-1.8764604312514717
DTB,Bittrex,2018-01-02 05:30:00,0.0001062,0.0001195,9.83e-05,9.98e-05,76.41,63.86102962970857,0.0,7.387000000000001e-05,7.387000000000001e-05,7.387000000000001e-05,-15.48408901385114,-67.47372458219489
DTB,Bittrex,2018-01-03 05:30:00,9.98e-05,0.0001233,9.590000000000001e-05,0.0001115,71.31,67.91967588276164,0.0,7.673000000000002e-05,7.673000000000002e-05,7.673000000000002e-05,-20.487481108772208,-57.58401655299781
DTB,Bittrex,2018-01-04 05:30:00,0.0001115,0.00011630000000000001,9.8e-05,0.0001032,50.16,62.552714160797606,0.0,7.867500000000001e-05,7.867500000000001e-05,7.867500000000001e-05,-27.561661112379852,-79.23778704480108
DTB,Bittrex,2018-01-05 05:30:00,0.0001032,0.0001099,8.170000000000001e-05,8.170000000000001e-05,28.49,51.25449696096408,0.0,8.002000000000001e-05,8.002000000000001e-05,8.002000000000001e-05,-37.01503828545754,-107.72778704480108
DTB,Bittrex,2018-01-06 05:30:00,8.170000000000001e-05,9.499999999999999e-05,8.1e-05,8.78e-05,18.48,53.80393690141959,0.0,8.164500000000001e-05,8.164500000000001e-05,8.164500000000001e-05,-37.685325466674996,-108.25578704480105
DTB,Bittrex,2018-01-07 05:30:00,8.78e-05,0.00010920000000000001,8.45e-05,0.0001024,34.99,59.29176173602031,0.0,8.373500000000001e-05,8.373500000000001e-05,8.373500000000001e-05,-29.53042440361078,-92.53153603265534
DTB,Bittrex,2018-01-08 05:30:00,0.0001024,0.0001198,9e-05,0.0001087,82.09,61.421438449817515,0.0,8.624000000000001e-05,8.624000000000001e-05,8.624000000000001e-05,-16.84838389176052,-71.59583133466877
DTB,Bittrex,2018-01-09 05:30:00,0.0001087,0.00015759999999999998,0.00010800000000000001,0.0001384,236.34,69.51762872361297,0.0,8.983000000000001e-05,8.983000000000001e-05,8.983000000000001e-05,6.8518347359453315,-18.228734560475125
