,circulating_supply,id,last_updated,market_cap_BTC,market_cap_USD,max_supply,name,price_BTC,rank,symbol,total_supply,volume_24hour_BTC,volume_24hour_USD,website_slug
119,645946.0,1492.0,1527678254.0,14488.0,108821879.0,,Byteball Bytes,0.0224285018,117.0,GBYTE,1000000.0,8.7067622727,65399.8,byteball
120,5163585.0,707.0,1527678245.0,14386.0,108058334.0,,Blocknet,0.0027860393,118.0,BLOCK,5163585.0,31.0608703061,233310.0,blocknet
121,342699966.0,1816.0,1527678260.0,14372.0,107953231.0,,Civic,4.19374e-05,119.0,CVC,1000000000.0,1992.9094254318,14969500.0,civic
122,488697232.0,1918.0,1527678262.0,14253.0,107061346.0,1000000000.0,Achain,2.91657e-05,120.0,ACT,1000000000.0,2688.6004968461,20195100.0,achain
123,4247558888.0,2544.0,1527678276.0,14008.0,105220104.0,,Nucleus Vision,3.2979e-06,121.0,NCASH,10000000000.0,642.5517015515,4826450.0,nucleus-vision
124,617314171.0,2212.0,1527678270.0,13990.0,105084774.0,,Quantstamp,2.26628e-05,122.0,QSP,976442388.0,233.3752253248,1752970.0,quantstamp
125,300056960.0,2428.0,1527678274.0,13896.0,104379915.0,,Scry.info,4.6312e-05,123.0,DDD,1000000000.0,97.9215536959,735526.0,scryinfo
126,1500000000.0,2316.0,1527678271.0,13836.0,103924950.0,10000000000.0,DeepBrain Chain,9.2238e-06,124.0,DBC,10000000000.0,153.3340078654,1151750.0,deepbrain-chain
127,13155531.0,1955.0,1527678264.0,13769.0,103426154.0,,Neblio,0.0010466519,125.0,NEBL,13911737.0,617.837201686,4640810.0,neblio
128,15793831.0,1776.0,1527678259.0,13661.0,102613626.0,,Monaco,0.0008649636,126.0,MCO,31587682.0,1875.9934925407,14091300.0,monaco
129,477744461.0,2392.0,1527678273.0,13600.0,102151321.0,,Bottos,2.84661e-05,127.0,BTO,1000000000.0,661.7385886482,4970570.0,bottos
130,186450000.0,2135.0,1527678268.0,13506.0,101447631.0,484450000.0,Revain,7.24369e-05,128.0,R,484450000.0,208.0962486254,1563090.0,revain
