id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
11883,6641.14513981,0.1496249999999193,2.253e-05,5989.34021781,0.1644073889788845,2.745e-05,EBST,Bittrex,1527917899280
11884,221.47157637,0.0049875398998524,2.252e-05,4016.835573,0.11034247319031,2.747e-05,EBST,Bittrex,1527917899280
11885,1946.37351072,0.043793403991200006,2.25e-05,7191.53515065,0.197623385939862,2.748e-05,EBST,Bittrex,1527917899280
11886,1331.77570093,0.029924999999897103,2.247e-05,929.46137903,0.025550893309534698,2.749e-05,EBST,Bittrex,1527917899280
11887,222.0,0.00498168,2.244e-05,4190.94930084,0.11525110577310002,2.75e-05,EBST,Bittrex,1527917899280
11888,30.56402344,0.000684634125056,2.24e-05,1942.0,0.05342442,2.751e-05,EBST,Bittrex,1527917899280
11889,765.32327586,0.0170896687499538,2.233e-05,4392.0,0.1209996,2.755e-05,EBST,Bittrex,1527917899280
11890,1029.67328631,0.022961714284713,2.23e-05,35.00055585,0.000964615319226,2.756e-05,EBST,Bittrex,1527917899280
11891,2593.0256393,0.057798541499997,2.229e-05,100.0,0.002757,2.757e-05,EBST,Bittrex,1527917899280
11892,22445.99459946,0.4987500000000012,2.222e-05,296.62709028,0.008186907691728,2.76e-05,EBST,Bittrex,1527917899280
11893,45013.53790614,0.9975000000000624,2.216e-05,2942.0,0.08122862,2.761e-05,EBST,Bittrex,1527917899280
11894,141.52426314,0.0031276862153939997,2.21e-05,671.49836838,0.018553499918339402,2.763e-05,EBST,Bittrex,1527917899280
11895,6798.04634257,0.1496249999999657,2.201e-05,54.40484805,0.0015037500001019999,2.764e-05,EBST,Bittrex,1527917899280
11896,1512.58530444,0.03327687669768,2.2e-05,2942.0,0.08134630000000001,2.765e-05,EBST,Bittrex,1527917899280
11897,1581.33344645,0.034631202477255006,2.19e-05,530.0,0.0146651,2.767e-05,EBST,Bittrex,1527917899280
11898,99.54256741,0.0021779913749308,2.188e-05,3621.74855491,0.1002499999999088,2.768e-05,EBST,Bittrex,1527917899280
11899,2532.80655935,0.055265839125017,2.182e-05,3542.0,0.09807798000000001,2.769e-05,EBST,Bittrex,1527917899280
11900,2847.2713211,0.062070514799980006,2.18e-05,4842.0,0.13431708,2.774e-05,EBST,Bittrex,1527917899280
11901,344.28439369,0.0074812998748837005,2.173e-05,20.0,0.0005554,2.777e-05,EBST,Bittrex,1527917899280
11902,100.0,0.002172,2.172e-05,11393.17663126,0.3166163785827154,2.779e-05,EBST,Bittrex,1527917899280
11903,27.63041478,0.0005995800007259999,2.17e-05,20.0,0.0005566,2.783e-05,EBST,Bittrex,1527917899280
11904,14020.48940928,0.3017209320877056,2.152e-05,4758.0,0.1325103,2.785e-05,EBST,Bittrex,1527917899280
11905,405.0,0.00871155,2.151e-05,11149.53515065,0.310849040000122,2.788e-05,EBST,Bittrex,1527917899280
11906,3844.8487071,0.08266424720265,2.15e-05,4608.0,0.1285632,2.79e-05,EBST,Bittrex,1527917899280
11907,55430.30820228,1.186208595528792,2.14e-05,429.427,0.01198530757,2.791e-05,EBST,Bittrex,1527917899280
11908,716.78289436,0.015267475649867999,2.13e-05,14956.68284376,0.41774015182621677,2.793e-05,EBST,Bittrex,1527917899280
11909,136.99453125,0.0029152436249999998,2.128e-05,4358.0,0.12184968,2.796e-05,EBST,Bittrex,1527917899280
11910,29.61098558,0.0006277528942960001,2.12e-05,12123.39568492,0.3393338452209108,2.799e-05,EBST,Bittrex,1527917899280
11911,1681.83740062,0.035537224275100594,2.113e-05,28841.171382,0.807552798696,2.8e-05,EBST,Bittrex,1527917899280
11912,7091.27654797,0.14962593516216702,2.11e-05,537.48058885,0.015065580905465501,2.803e-05,EBST,Bittrex,1527917899280
11913,746.3479,0.015710623295,2.105e-05,228.14673366,0.006399515879163,2.805e-05,EBST,Bittrex,1527917899280
11914,1043.5784,0.021915146400000002,2.1e-05,1262.85211267,0.0354356302815202,2.806e-05,EBST,Bittrex,1527917899280
11915,47704.44763271,0.9974999999999661,2.091e-05,17.9,0.0005024529999999999,2.807e-05,EBST,Bittrex,1527917899280
11916,29.13692573,0.0006089617477570001,2.09e-05,29.99880344,0.0008426663886296,2.809e-05,EBST,Bittrex,1527917899280
11917,1701.41658762,0.0353384225248674,2.077e-05,67.29718449,0.0018910508841690002,2.81e-05,EBST,Bittrex,1527917899280
11918,4809.54676953,0.09975000000005221,2.074e-05,350.0,0.009842,2.812e-05,EBST,Bittrex,1527917899280
